"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 07 18:50:16 CST 2023","Sat Oct 07 18:50:16 CST 2023","158","TestCases","test_get_request","TestRequest","","","接口参数效验",""
"passed","Sat Oct 07 18:50:16 CST 2023","Sat Oct 07 18:50:16 CST 2023","234","TestCases","test_get_request","TestRequest","","","登录账号密码",""
"passed","Sat Oct 07 18:50:16 CST 2023","Sat Oct 07 18:50:16 CST 2023","99","TestCases","test_get_request","TestRequest","","","提交验证码",""
